,Kümbet yaylası - Giresun_temp,Kümbet yaylası - Giresun_prcp,Kümbet yaylası - Giresun_snow,Kümbet yaylası - Giresun_rain,Kümbet yaylası - Giresun_tmin,Kümbet yaylası - Giresun_tmax,Kümbet yaylası - Giresun_wspd,Kümbet yaylası - Giresun_rhum
2023-03-12,7.65,0.17,0.0,0.17,1.92,12.28,21.96,55.1
2023-03-13,-1.68,15.6,15.6,0.0,-3.23,1.43,20.78,87.41
2023-03-14,-2.21,6.07,6.07,0.0,-5.06,-0.65,12.22,87.44
2023-03-15,0.6,3.19,3.19,0.0,-3.12,2.82,7.75,89.4
2023-03-16,3.67,0.72,0.0,0.72,-0.56,7.95,8.9,82.78
2023-03-17,1.66,0.06,0.06,0.0,-1.06,3.86,10.43,88.25
2023-03-18,0.2,1.2,1.2,0.0,-2.03,1.9,8.35,91.74
2023-03-19,-0.15,2.38,2.38,0.0,-1.71,1.28,9.13,86.33
2023-03-20,-2.29,16.11,16.11,0.0,-3.29,-1.06,21.82,89.22
2023-03-21,-2.13,1.84,1.84,0.0,-4.45,0.35,8.69,85.44
2023-03-22,-0.11,0.0,0.0,0.0,-4.79,3.88,9.67,80.82
2023-03-23,-0.38,3.26,3.26,0.0,-2.27,2.46,9.47,86.07
2023-03-24,-0.7,4.6,4.6,0.0,-2.8,2.04,6.6,91.4
2023-03-25,-0.34,2.65,2.65,0.0,-2.65,1.77,9.58,90.91
2023-03-26,2.33,3.28,0.0,3.28,-2.04,6.67,10.93,80.11
2023-03-27,1.2,1.48,1.48,0.0,-1.93,3.83,11.89,82.4
2023-03-28,3.23,14.17,0.0,14.17,-2.58,10.08,17.23,69.71
2023-03-29,-2.48,35.33,35.33,0.0,-6.59,1.41,23.75,88.54
2023-03-30,-6.57,3.39,3.39,0.0,-8.59,-4.67,15.51,78.12
2023-03-31,-7.23,0.64,0.64,0.0,-11.04,-4.11,11.36,75.56
2023-04-01,-4.94,0.0,0.0,0.0,-12.79,1.76,13.45,63.45
2023-04-02,1.79,0.06,0.06,0.0,-3.95,7.49,13.04,67.54
2023-04-03,2.59,0.38,0.0,0.38,-1.29,6.98,10.16,79.91
2023-04-04,5.9,0.0,0.0,0.0,-0.82,12.95,15.7,63.14
2023-04-05,4.78,1.37,0.0,1.37,0.59,10.38,14.9,69.04
2023-04-06,-0.41,7.35,7.35,0.0,-2.6,2.15,11.25,92.4
2023-04-07,-0.73,11.09,11.09,0.0,-3.38,1.91,11.28,88.95
2023-04-08,-0.92,12.3,12.3,0.0,-3.53,1.83,11.19,86.12
2023-04-09,-0.37,0.0,0.0,0.0,-5.31,3.84,8.71,76.93
2023-04-10,1.02,2.6,2.6,0.0,-1.22,3.2,9.51,89.32
2023-04-11,2.0,7.59,7.59,0.0,-0.04,4.58,13.37,90.99
2023-04-12,0.19,13.8,13.8,0.0,-1.62,2.3,10.15,92.89
2023-04-13,0.38,9.45,9.45,0.0,-2.25,2.98,9.74,87.26
2023-04-14,1.98,1.94,1.94,0.0,-3.04,6.08,11.91,70.84
2023-04-15,5.29,0.0,0.0,0.0,-0.01,10.0,11.98,65.03
2023-04-16,4.82,0.28,0.0,0.28,0.45,9.06,6.35,72.51
2023-04-17,6.03,0.48,0.0,0.48,1.5,10.55,10.38,71.25
