,Horma Kanyonu - Kastamonu_temp,Horma Kanyonu - Kastamonu_prcp,Horma Kanyonu - Kastamonu_snow,Horma Kanyonu - Kastamonu_rain,Horma Kanyonu - Kastamonu_tmin,Horma Kanyonu - Kastamonu_tmax,Horma Kanyonu - Kastamonu_wspd,Horma Kanyonu - Kastamonu_rhum
2024-03-15,6.15,2.99,0.0,2.99,3.24,10.39,8.66,90.16
2024-03-16,5.07,10.28,0.0,10.28,3.57,7.53,7.08,91.0
2024-03-17,6.06,1.89,0.0,1.89,2.65,10.75,5.91,87.01
2024-03-18,5.53,4.39,0.0,4.39,0.42,11.83,7.23,85.56
2024-03-19,6.88,0.0,0.0,0.0,0.79,12.47,8.48,77.08
2024-03-20,5.54,8.04,0.0,8.04,1.29,9.75,9.48,86.07
2024-03-21,2.41,6.25,0.0,6.25,-0.18,5.29,9.92,87.68
2024-03-22,1.99,8.66,8.66,0.0,-0.61,5.95,13.46,89.04
2024-03-23,2.28,5.85,0.0,5.85,0.34,5.96,14.09,86.57
2024-03-24,5.72,0.0,0.0,0.0,-0.51,12.43,9.78,72.28
2024-03-25,8.98,7.65,0.0,7.65,1.41,15.55,15.24,67.43
2024-03-26,5.88,2.3,0.0,2.3,2.19,10.35,21.94,70.53
2024-03-27,6.07,0.6,0.0,0.6,1.03,11.95,8.07,73.28
2024-03-28,13.19,1.05,0.0,1.05,6.52,20.3,10.53,62.02
2024-03-29,13.49,0.16,0.0,0.16,9.53,19.31,11.97,70.46
2024-03-30,13.29,0.0,0.0,0.0,7.24,19.13,8.86,61.1
2024-03-31,15.78,0.0,0.0,0.0,9.73,21.77,9.43,52.76
2024-04-01,16.35,0.0,0.0,0.0,9.29,23.28,9.48,52.6
2024-04-02,17.75,0.0,0.0,0.0,10.88,25.65,10.94,45.69
2024-04-03,13.29,0.0,0.0,0.0,8.53,18.51,14.89,59.16
2024-04-04,11.21,0.0,0.0,0.0,4.2,17.67,8.77,70.8
2024-04-05,10.4,1.97,0.0,1.97,4.68,15.86,10.94,71.33
2024-04-06,9.58,0.0,0.0,0.0,2.15,15.89,9.04,64.51
2024-04-07,9.65,0.0,0.0,0.0,2.61,14.82,10.31,71.1
2024-04-08,10.02,0.0,0.0,0.0,3.93,15.06,10.17,75.4
2024-04-09,12.04,0.0,0.0,0.0,4.46,17.17,7.99,79.82
2024-04-10,11.19,0.0,0.0,0.0,6.32,16.21,9.87,80.85
2024-04-11,11.6,0.0,0.0,0.0,7.18,15.89,11.4,81.33
2024-04-12,12.52,0.0,0.0,0.0,8.94,17.8,7.46,85.08
2024-04-13,12.4,0.0,0.0,0.0,7.28,17.36,14.3,80.29
2024-04-14,11.92,0.0,0.0,0.0,6.25,18.08,12.8,72.26
2024-04-15,15.67,0.0,0.0,0.0,6.36,22.86,9.41,59.04
2024-04-16,20.69,0.0,0.0,0.0,9.63,27.52,12.71,40.95
2024-04-17,19.84,0.0,0.0,0.0,12.23,26.95,10.84,42.31
2024-04-18,17.98,0.29,0.0,0.29,12.64,24.99,17.93,52.98
