,Kuzalan şelalesi Tabiat Parkı - Giresun_temp,Kuzalan şelalesi Tabiat Parkı - Giresun_prcp,Kuzalan şelalesi Tabiat Parkı - Giresun_snow,Kuzalan şelalesi Tabiat Parkı - Giresun_rain,Kuzalan şelalesi Tabiat Parkı - Giresun_tmin,Kuzalan şelalesi Tabiat Parkı - Giresun_tmax,Kuzalan şelalesi Tabiat Parkı - Giresun_wspd,Kuzalan şelalesi Tabiat Parkı - Giresun_rhum
2023-04-18,13.82,0.13,0.0,0.13,8.95,19.45,15.01,64.8
2023-04-19,13.7,0.99,0.0,0.99,8.04,17.98,18.38,69.06
2023-04-20,8.48,21.84,0.0,21.84,6.95,10.39,13.02,90.34
2023-04-21,8.68,3.95,0.0,3.95,5.74,11.81,11.12,82.4
2023-04-22,7.77,1.36,0.0,1.36,4.25,10.89,11.05,81.25
2023-04-23,7.74,3.29,0.0,3.29,5.6,10.22,10.97,86.78
2023-04-24,6.87,6.08,0.0,6.08,5.51,8.68,10.58,91.41
2023-04-25,8.49,0.0,0.0,0.0,3.63,12.55,9.5,78.73
2023-04-26,11.52,0.34,0.0,0.34,6.05,16.55,10.82,65.07
2023-04-27,12.14,0.19,0.0,0.19,8.51,15.96,11.54,68.75
2023-04-28,8.53,7.67,0.0,7.67,6.5,11.01,17.01,87.39
2023-04-29,5.91,14.83,0.0,14.83,4.34,7.06,10.79,90.12
2023-04-30,6.82,5.5,0.0,5.5,4.89,9.47,7.96,88.47
2023-05-01,7.04,0.69,0.0,0.69,3.41,9.96,8.44,78.86
2023-05-02,6.66,1.23,0.0,1.23,2.84,9.69,10.71,74.99
2023-05-03,6.55,0.18,0.0,0.18,1.6,10.43,9.92,74.27
2023-05-04,10.51,0.0,0.0,0.0,2.73,15.06,9.99,71.06
2023-05-05,11.62,0.0,0.0,0.0,5.88,15.27,7.37,77.09
2023-05-06,10.4,0.52,0.0,0.52,7.78,12.95,10.06,85.49
2023-05-07,10.36,3.68,0.0,3.68,7.7,13.43,11.79,86.52
2023-05-08,9.93,4.32,0.0,4.32,8.69,12.84,15.53,89.91
2023-05-09,10.96,0.54,0.0,0.54,7.72,14.27,8.05,87.09
2023-05-10,10.09,4.98,0.0,4.98,7.03,12.37,7.47,90.62
2023-05-11,8.73,11.75,0.0,11.75,7.73,10.35,11.57,92.69
2023-05-12,9.43,11.32,0.0,11.32,7.54,11.41,10.92,88.06
2023-05-13,8.99,8.62,0.0,8.62,7.14,11.07,16.59,87.3
2023-05-14,11.02,2.36,0.0,2.36,7.14,13.91,19.8,73.28
2023-05-15,11.77,0.0,0.0,0.0,7.46,15.57,8.53,69.56
2023-05-16,10.91,0.0,0.0,0.0,6.62,15.25,8.54,72.23
2023-05-17,12.79,0.0,0.0,0.0,6.95,16.33,6.9,80.61
