,Ulugöl Tabiat Parkı - Ordu_temp,Ulugöl Tabiat Parkı - Ordu_prcp,Ulugöl Tabiat Parkı - Ordu_snow,Ulugöl Tabiat Parkı - Ordu_rain,Ulugöl Tabiat Parkı - Ordu_tmin,Ulugöl Tabiat Parkı - Ordu_tmax,Ulugöl Tabiat Parkı - Ordu_wspd,Ulugöl Tabiat Parkı - Ordu_rhum
2023-01-18,3.63,0.0,0.0,0.0,-1.83,10.08,15.26,63.76
2023-01-19,3.11,0.0,0.0,0.0,-2.97,10.37,11.25,65.89
2023-01-20,3.51,0.0,0.0,0.0,-3.23,10.34,13.81,60.1
2023-01-21,2.89,0.0,0.0,0.0,-3.49,9.05,10.11,58.13
2023-01-22,0.79,0.0,0.0,0.0,-5.59,6.72,7.63,64.08
2023-01-23,-0.5,0.0,0.0,0.0,-5.86,4.79,7.12,66.7
2023-01-24,-1.0,0.0,0.0,0.0,-6.3,3.51,7.32,75.54
2023-01-25,-0.72,0.15,0.15,0.0,-4.02,2.19,5.58,81.65
2023-01-26,-1.04,0.0,0.0,0.0,-5.46,3.97,8.49,72.87
2023-01-27,0.34,0.0,0.0,0.0,-7.1,6.2,15.64,57.33
2023-01-28,2.92,1.96,0.0,1.96,0.05,5.98,22.16,65.11
2023-01-29,0.61,3.46,3.46,0.0,-2.48,3.1,12.95,82.94
2023-01-30,-1.67,3.25,3.25,0.0,-3.75,0.84,8.45,87.3
2023-01-31,-2.09,0.96,0.96,0.0,-5.81,0.64,9.67,86.69
2023-02-01,-2.62,8.25,8.25,0.0,-4.23,-1.34,12.87,92.8
2023-02-02,-4.47,3.55,3.55,0.0,-8.94,-1.41,16.39,79.53
2023-02-03,-3.83,0.12,0.12,0.0,-9.4,0.77,15.13,65.09
2023-02-04,-3.48,0.84,0.84,0.0,-6.94,-1.26,12.16,71.81
2023-02-05,-3.99,0.23,0.23,0.0,-8.07,-0.18,9.27,78.27
2023-02-06,-3.29,24.6,24.6,0.0,-4.86,-1.46,18.23,89.48
2023-02-07,-5.66,9.6,9.6,0.0,-7.87,-3.91,26.96,86.43
2023-02-08,-7.29,1.36,1.36,0.0,-10.65,-5.36,20.81,77.61
2023-02-09,-6.68,0.17,0.17,0.0,-11.44,-2.96,12.42,77.53
2023-02-10,-8.13,0.42,0.42,0.0,-12.69,-3.24,7.12,77.04
2023-02-11,-6.43,4.38,4.38,0.0,-10.46,-0.97,7.2,83.35
2023-02-12,-6.49,0.88,0.88,0.0,-10.4,-2.21,7.07,73.83
2023-02-13,-7.51,5.14,5.14,0.0,-12.96,-4.52,14.48,78.78
2023-02-14,-8.82,0.0,0.0,0.0,-14.77,-3.13,8.74,70.06
2023-02-15,-5.73,6.39,6.39,0.0,-8.41,-2.61,17.3,77.71
2023-02-16,-5.68,5.72,5.72,0.0,-8.7,-3.68,20.55,79.52
