,Perşembe Yaylası - Ordu_temp,Perşembe Yaylası - Ordu_prcp,Perşembe Yaylası - Ordu_snow,Perşembe Yaylası - Ordu_rain,Perşembe Yaylası - Ordu_tmin,Perşembe Yaylası - Ordu_tmax,Perşembe Yaylası - Ordu_wspd,Perşembe Yaylası - Ordu_rhum
2022-07-31,16.8,0.0,0.0,0.0,10.63,22.97,6.6,68.88
2022-08-01,17.44,0.09,0.0,0.09,11.93,22.66,8.49,71.9
2022-08-02,17.38,1.11,0.0,1.11,12.73,22.01,10.56,71.64
2022-08-03,16.69,3.08,0.0,3.08,13.66,19.87,9.81,75.71
2022-08-04,17.5,1.6,0.0,1.6,12.33,22.74,8.79,76.25
2022-08-05,17.38,0.28,0.0,0.28,13.44,22.42,8.04,77.56
2022-08-06,18.13,0.03,0.0,0.03,12.46,22.54,8.13,75.28
2022-08-07,16.92,1.33,0.0,1.33,13.0,21.62,7.22,77.3
2022-08-08,17.61,0.03,0.0,0.03,12.29,22.32,7.03,74.67
2022-08-09,17.06,0.03,0.0,0.03,12.1,22.2,7.8,75.13
2022-08-10,16.66,0.44,0.0,0.44,12.58,21.0,6.48,74.56
2022-08-11,17.63,0.15,0.0,0.15,11.81,23.7,8.02,69.19
2022-08-12,17.3,0.15,0.0,0.15,12.71,20.46,9.46,72.98
2022-08-13,17.99,0.52,0.0,0.52,14.71,21.37,8.15,76.33
2022-08-14,18.17,0.0,0.0,0.0,12.27,23.31,7.36,75.96
2022-08-15,17.35,0.51,0.0,0.51,12.73,21.7,8.9,76.39
2022-08-16,17.98,3.21,0.0,3.21,14.77,22.15,8.38,77.71
2022-08-17,18.41,3.08,0.0,3.08,13.36,23.31,6.55,78.1
2022-08-18,17.19,0.81,0.0,0.81,13.47,21.11,8.19,77.13
2022-08-19,15.96,1.6,0.0,1.6,11.49,20.47,7.3,76.65
2022-08-20,16.63,1.87,0.0,1.87,12.58,21.9,7.9,77.52
2022-08-21,18.07,0.0,0.0,0.0,11.88,23.74,6.9,74.85
2022-08-22,18.99,0.0,0.0,0.0,12.39,25.05,6.5,70.67
2022-08-23,19.07,0.0,0.0,0.0,12.16,24.74,6.82,70.36
2022-08-24,19.56,0.0,0.0,0.0,13.58,24.87,7.5,71.09
2022-08-25,19.84,0.0,0.0,0.0,14.23,24.86,8.99,72.28
2022-08-26,19.57,0.0,0.0,0.0,14.01,24.73,7.76,72.85
