,Erfelek Tatlıca Şelaleleri - Sinop_temp,Erfelek Tatlıca Şelaleleri - Sinop_prcp,Erfelek Tatlıca Şelaleleri - Sinop_snow,Erfelek Tatlıca Şelaleleri - Sinop_rain,Erfelek Tatlıca Şelaleleri - Sinop_tmin,Erfelek Tatlıca Şelaleleri - Sinop_tmax,Erfelek Tatlıca Şelaleleri - Sinop_wspd,Erfelek Tatlıca Şelaleleri - Sinop_rhum
2022-05-22,15.66,0.0,0.0,0.0,10.85,20.09,11.91,65.14
2022-05-23,12.92,2.86,0.0,2.86,10.11,16.57,11.62,81.04
2022-05-24,12.55,2.74,0.0,2.74,9.57,15.48,13.96,80.78
2022-05-25,12.94,0.0,0.0,0.0,8.61,16.02,9.74,78.71
2022-05-26,14.35,0.0,0.0,0.0,10.63,17.15,14.62,79.96
2022-05-27,14.26,0.0,0.0,0.0,11.78,16.92,10.94,81.11
2022-05-28,14.86,0.0,0.0,0.0,11.84,17.9,11.69,81.68
2022-05-29,16.29,0.0,0.0,0.0,13.04,19.56,14.27,78.88
2022-05-30,17.86,0.11,0.0,0.11,13.77,23.85,15.41,77.99
2022-05-31,17.29,0.0,0.0,0.0,14.09,21.7,14.26,77.55
2022-06-01,15.17,0.0,0.0,0.0,13.26,18.36,7.43,89.78
2022-06-02,15.45,0.0,0.0,0.0,12.69,18.82,7.38,88.37
2022-06-03,16.55,0.11,0.0,0.11,13.96,20.83,7.59,86.54
2022-06-04,17.2,0.18,0.0,0.18,14.76,19.8,18.51,86.14
2022-06-05,18.03,0.0,0.0,0.0,15.73,20.72,17.95,80.29
2022-06-06,18.26,0.0,0.0,0.0,15.54,21.64,12.54,81.75
2022-06-07,17.6,2.05,0.0,2.05,15.6,20.55,13.91,85.29
2022-06-08,17.96,0.0,0.0,0.0,15.42,20.94,9.25,85.28
2022-06-09,18.03,0.39,0.0,0.39,15.53,20.38,11.66,85.15
2022-06-10,19.26,0.0,0.0,0.0,16.23,23.02,13.57,80.86
2022-06-11,19.26,1.66,0.0,1.66,16.49,21.92,17.36,85.69
2022-06-12,18.5,3.57,0.0,3.57,16.58,21.06,12.23,87.74
2022-06-13,18.87,0.05,0.0,0.05,16.78,20.75,25.71,81.38
2022-06-14,19.55,0.0,0.0,0.0,17.08,22.01,17.72,81.84
2022-06-15,19.29,0.18,0.0,0.18,16.86,22.03,19.26,81.18
2022-06-16,18.91,0.0,0.0,0.0,15.95,21.84,11.23,74.49
2022-06-17,19.33,0.0,0.0,0.0,15.57,22.79,9.1,72.18
2022-06-18,19.77,0.0,0.0,0.0,16.17,22.65,8.68,69.49
2022-06-19,19.07,0.12,0.0,0.12,15.13,21.69,7.07,76.56
2022-06-20,20.09,0.0,0.0,0.0,15.07,23.89,8.06,78.57
2022-06-21,19.5,0.69,0.0,0.69,16.87,22.16,17.78,80.24
2022-06-22,19.86,0.81,0.0,0.81,16.84,24.07,19.51,70.93
2022-06-23,19.16,0.0,0.0,0.0,16.2,23.09,15.25,62.55
2022-06-24,16.31,8.01,0.0,8.01,13.99,18.21,13.7,79.48
2022-06-25,16.03,11.35,0.0,11.35,14.07,18.13,17.58,83.26
2022-06-26,16.73,26.45,0.0,26.45,13.3,20.02,17.0,84.48
