tarih,gercek_ziyaretci,yorum_sayisi,ortalama_puan,uygulanan_beta,Şahinkaya Kanyonu - Samsun_temp,Şahinkaya Kanyonu - Samsun_prcp,Şahinkaya Kanyonu - Samsun_snow,Şahinkaya Kanyonu - Samsun_rain,Şahinkaya Kanyonu - Samsun_wspd,Şahinkaya Kanyonu - Samsun_rhum
2023.11.06 - 2023.11.12,708.0,1.0,5.0,708.15,19.44,1.33,0.0,1.33,5.59,65.94
2023.11.13 - 2023.11.19,708.0,1.0,5.0,708.15,16.91,11.36,0.0,11.36,5.96,67.3
2023.11.20 - 2023.11.26,708.0,1.0,5.0,708.15,12.92,41.52,0.0,41.52,7.9,69.08
2023.11.27 - 2023.12.03,2124.0,3.0,4.67,708.15,12.6,27.83,0.0,27.83,9.34,64.02
2023.12.04 - 2023.12.10,708.0,1.0,1.0,708.15,13.42,1.98,0.0,1.98,7.0,60.22
2023.12.11 - 2023.12.17,1416.0,2.0,5.0,708.15,11.14,19.65,0.0,19.65,4.8,82.4
2023.12.18 - 2023.12.24,708.0,1.0,5.0,708.15,9.41,24.48,0.0,24.48,5.8,76.99
2023.12.25 - 2023.12.31,2124.0,3.0,4.25,708.15,9.52,19.98,0.0,19.98,7.54,68.57
2024.01.01 - 2024.01.07,0.0,0.0,,660.23,9.68,1.79,0.0,1.79,4.41,72.34
2024.01.08 - 2024.01.14,0.0,0.0,,372.67,11.65,10.47,0.0,10.47,6.71,67.29
2024.01.15 - 2024.01.21,746.0,2.0,4.0,372.67,4.62,11.04,6.5,4.54,9.97,69.91
2024.01.22 - 2024.01.28,373.0,1.0,3.0,372.67,9.81,28.05,0.0,28.05,10.6,70.29
2024.01.29 - 2024.02.04,0.0,0.0,,372.67,4.28,21.99,0.0,21.99,5.5,72.7
2024.02.05 - 2024.02.11,0.0,0.0,,372.67,6.08,6.26,0.0,6.26,7.02,71.52
2024.02.12 - 2024.02.18,0.0,0.0,,372.67,13.33,0.76,0.0,0.76,8.55,54.3
2024.02.19 - 2024.02.25,746.0,2.0,4.5,372.67,9.87,8.95,0.0,8.95,8.75,78.46
2024.02.26 - 2024.03.03,1864.0,5.0,4.12,372.67,8.38,1.6,0.0,1.6,5.42,70.54
2024.03.04 - 2024.03.10,745.0,2.0,3.5,372.67,9.72,4.36,0.0,4.36,5.19,70.01
2024.03.11 - 2024.03.17,0.0,0.0,,372.67,8.74,8.48,0.0,8.48,7.07,76.73
2024.03.18 - 2024.03.24,0.0,0.0,,372.67,10.41,6.89,0.0,6.89,7.01,75.56
2024.03.25 - 2024.03.31,0.0,0.0,,372.67,8.0,22.48,0.0,22.48,9.01,74.0
2024.04.01 - 2024.04.07,0.0,0.0,,372.67,13.72,8.24,0.0,8.24,6.82,65.77
2024.04.08 - 2024.04.14,1119.0,3.0,5.0,372.67,13.57,1.74,0.0,1.74,10.08,64.04
2024.04.15 - 2024.04.21,5963.0,16.0,4.13,372.67,14.25,1.51,0.0,1.51,8.51,72.41
2024.04.22 - 2024.04.28,2983.0,8.0,4.17,372.67,18.28,1.4,0.0,1.4,11.52,56.58
2024.04.29 - 2024.05.05,2982.0,8.0,4.83,372.67,19.04,2.76,0.0,2.76,8.77,64.35
2024.05.06 - 2024.05.12,746.0,2.0,3.5,372.67,14.06,34.2,0.0,34.2,9.97,80.58
2024.05.13 - 2024.05.19,745.0,2.0,5.0,372.67,15.47,12.81,0.0,12.81,9.06,67.2
2024.05.20 - 2024.05.26,1863.0,5.0,5.0,372.67,14.88,4.37,0.0,4.37,9.25,67.46
2024.05.27 - 2024.06.02,2236.0,6.0,4.78,372.67,18.08,5.1,0.0,5.1,9.39,68.79
2024.06.03 - 2024.06.09,1491.0,4.0,4.25,372.67,20.61,11.56,0.0,11.56,7.0,70.89
2024.06.10 - 2024.06.16,3726.0,10.0,4.08,372.67,23.77,0.76,0.0,0.76,8.73,62.34
2024.06.17 - 2024.06.23,3354.0,9.0,4.5,372.67,25.0,0.22,0.0,0.22,9.14,62.45
2024.06.24 - 2024.06.30,7826.0,21.0,3.5,372.67,24.14,0.0,0.0,0.0,11.65,64.25
2024.07.01 - 2024.07.07,12670.0,34.0,4.53,372.67,23.92,0.93,0.0,0.93,12.75,62.47
2024.07.08 - 2024.07.14,3727.0,10.0,4.4,372.67,25.27,13.55,0.0,13.55,11.55,66.39
2024.07.15 - 2024.07.21,5218.0,14.0,3.78,372.67,26.49,2.1,0.0,2.1,10.42,68.91
2024.07.22 - 2024.07.28,9316.0,25.0,4.18,372.67,27.78,2.04,0.0,2.04,10.53,66.29
2024.07.29 - 2024.08.04,7082.0,19.0,4.75,372.67,25.6,16.65,0.0,16.65,9.98,65.72
2024.08.05 - 2024.08.11,8943.0,24.0,4.31,372.67,25.42,0.53,0.0,0.53,10.98,61.77
2024.08.12 - 2024.08.18,12670.0,34.0,4.35,372.67,26.06,0.15,0.0,0.15,11.49,65.66
2024.08.19 - 2024.08.25,7827.0,21.0,4.72,372.67,25.87,0.0,0.0,0.0,10.26,60.51
2024.08.26 - 2024.09.01,13789.0,37.0,4.77,372.67,26.52,13.55,0.0,13.55,10.9,66.53
2024.09.02 - 2024.09.08,11553.0,31.0,4.42,372.67,25.51,1.23,0.0,1.23,8.94,70.88
2024.09.09 - 2024.09.15,8944.0,24.0,4.65,372.67,24.5,3.52,0.0,3.52,8.66,71.48
2024.09.16 - 2024.09.22,11181.0,30.0,4.52,372.67,25.48,3.06,0.0,3.06,8.02,66.38
2024.09.23 - 2024.09.29,5590.0,15.0,4.04,372.67,20.02,56.0,0.0,56.0,7.77,74.77
2024.09.30 - 2024.10.06,4099.0,11.0,4.03,372.67,21.09,27.72,0.0,27.72,6.97,70.14
2024.10.07 - 2024.10.13,1864.0,5.0,4.75,372.67,20.24,12.32,0.0,12.32,5.74,69.94
2024.10.14 - 2024.10.20,4472.0,12.0,4.27,372.67,20.04,7.16,0.0,7.16,6.92,73.74
2024.10.21 - 2024.10.27,1864.0,5.0,5.0,372.67,13.35,47.44,0.0,47.44,9.35,71.9
2024.10.28 - 2024.11.03,2236.0,6.0,4.62,372.67,13.03,10.26,0.0,10.26,5.4,74.58
2024.11.04 - 2024.11.10,1491.0,4.0,3.17,372.67,12.48,9.34,0.0,9.34,6.37,74.18
2024.11.11 - 2024.11.17,746.0,2.0,4.0,372.67,9.6,3.69,0.0,3.69,6.77,73.31
2024.11.18 - 2024.11.24,1490.0,4.0,4.75,372.67,10.77,11.03,0.0,11.03,4.43,83.17
2024.11.25 - 2024.12.01,1491.0,4.0,4.33,372.67,11.29,64.48,0.0,64.48,11.85,74.22
2024.12.02 - 2024.12.08,373.0,1.0,5.0,372.67,6.0,12.36,0.0,12.36,6.6,72.37
2024.12.09 - 2024.12.15,373.0,1.0,5.0,372.67,9.28,3.36,0.0,3.36,5.77,73.44
2024.12.16 - 2024.12.22,746.0,2.0,5.0,372.67,7.79,15.03,0.0,15.03,8.41,71.8
2024.12.23 - 2024.12.29,746.0,2.0,5.0,372.67,8.27,1.33,0.0,1.33,7.2,73.96
2024.12.30 - 2025.01.05,0.0,0.0,,372.67,8.86,10.71,0.0,10.71,8.93,76.92
2025.01.06 - 2025.01.12,0.0,0.0,,306.83,6.7,7.39,0.0,7.39,6.68,72.33
2025.01.13 - 2025.01.19,296.0,1.0,5.0,295.86,8.75,4.79,0.0,4.79,5.7,72.89
2025.01.20 - 2025.01.26,296.0,1.0,5.0,295.86,6.27,20.69,0.0,20.69,8.83,80.41
2025.01.27 - 2025.02.02,0.0,0.0,,295.86,7.71,9.07,0.0,9.07,4.62,78.12
2025.02.03 - 2025.02.09,888.0,3.0,3.33,295.86,7.39,0.37,0.0,0.37,4.37,73.82
2025.02.10 - 2025.02.16,296.0,1.0,5.0,295.86,3.62,25.27,0.0,25.27,10.77,78.72
2025.02.17 - 2025.02.23,592.0,2.0,5.0,295.86,5.41,17.72,0.0,17.72,7.46,79.54
2025.02.24 - 2025.03.02,0.0,0.0,,295.86,-0.26,36.26,21.96,14.3,11.33,76.34
2025.03.03 - 2025.03.09,296.0,1.0,4.0,295.86,4.02,6.06,1.71,4.35,5.95,72.72
2025.03.10 - 2025.03.16,592.0,2.0,4.0,295.86,7.66,1.08,0.0,1.08,6.19,67.33
2025.03.17 - 2025.03.23,296.0,1.0,5.0,295.86,16.12,0.0,0.0,0.0,5.94,50.07
2025.03.24 - 2025.03.30,888.0,3.0,5.0,295.86,6.71,6.3,0.0,6.3,10.41,74.04
2025.03.31 - 2025.04.06,592.0,2.0,5.0,295.86,14.17,4.81,0.0,4.81,5.32,72.32
2025.04.07 - 2025.04.13,5327.0,18.0,4.7,295.86,11.89,17.35,0.0,17.35,6.83,81.4
2025.04.14 - 2025.04.20,1776.0,6.0,5.0,295.86,5.13,42.31,0.0,42.31,9.34,77.97
2025.04.21 - 2025.04.27,2960.0,10.0,4.67,295.86,11.65,6.55,0.0,6.55,6.93,77.92
2025.04.28 - 2025.05.04,1184.0,4.0,3.67,295.86,12.44,16.39,0.0,16.39,8.34,81.71
