tarih,gercek_ziyaretci,yorum_sayisi,ortalama_puan,uygulanan_beta,Horma Kanyonu - Kastamonu_temp,Horma Kanyonu - Kastamonu_prcp,Horma Kanyonu - Kastamonu_snow,Horma Kanyonu - Kastamonu_rain,Horma Kanyonu - Kastamonu_wspd,Horma Kanyonu - Kastamonu_rhum
2024.08.26 - 2024.09.01,14450.0,58.0,4.94,249.11,21.93,10.1,0.0,10.1,10.68,75.64
2024.09.02 - 2024.09.08,13453.0,54.0,4.92,249.11,20.6,2.5,0.0,2.5,9.09,75.97
2024.09.09 - 2024.09.15,12704.0,51.0,4.9,249.11,20.21,22.04,0.0,22.04,9.28,82.82
2024.09.16 - 2024.09.22,10713.0,43.0,5.0,249.11,21.25,17.49,0.0,17.49,9.12,75.63
2024.09.23 - 2024.09.29,4482.0,18.0,4.79,249.11,16.37,31.82,0.0,31.82,10.81,84.19
2024.09.30 - 2024.10.06,6227.0,25.0,5.0,249.11,18.02,15.31,0.0,15.31,8.75,78.42
2024.10.07 - 2024.10.13,3735.0,15.0,4.93,249.11,16.1,40.93,0.0,40.93,10.95,78.73
2024.10.14 - 2024.10.20,4731.0,19.0,4.93,249.11,15.74,15.31,0.0,15.31,8.71,82.74
2024.10.21 - 2024.10.27,3486.0,14.0,4.83,249.11,8.75,72.72,0.0,72.72,12.93,86.79
2024.10.28 - 2024.11.03,3488.0,14.0,4.2,249.11,9.8,1.83,0.0,1.83,9.38,84.19
2024.11.04 - 2024.11.10,6975.0,28.0,4.86,249.11,9.35,13.76,0.0,13.76,10.06,83.36
2024.11.11 - 2024.11.17,5729.0,23.0,4.96,249.11,6.16,4.55,0.0,4.55,8.55,83.95
2024.11.18 - 2024.11.24,3735.0,15.0,4.92,249.11,8.64,20.51,0.0,20.51,5.5,91.08
2024.11.25 - 2024.12.01,1992.0,8.0,5.0,249.11,8.06,51.33,6.32,45.01,12.6,82.68
2024.12.02 - 2024.12.08,996.0,4.0,5.0,249.11,4.47,8.27,0.0,8.27,9.02,88.84
2024.12.09 - 2024.12.15,498.0,2.0,5.0,249.11,6.35,3.28,0.0,3.28,8.27,83.93
2024.12.16 - 2024.12.22,498.0,2.0,5.0,249.11,5.02,17.33,0.0,17.33,12.0,84.1
2024.12.23 - 2024.12.29,249.0,1.0,5.0,249.11,6.56,8.62,0.0,8.62,11.58,84.88
2024.12.30 - 2025.01.05,747.0,3.0,5.0,249.11,6.23,15.0,0.0,15.0,6.97,83.74
2025.01.06 - 2025.01.12,769.0,4.0,5.0,200.52,4.06,10.59,0.0,10.59,9.83,81.79
2025.01.13 - 2025.01.19,1346.0,7.0,5.0,192.42,6.42,15.91,0.0,15.91,9.03,81.39
2025.01.20 - 2025.01.26,1153.0,6.0,4.3,192.42,4.45,12.29,0.0,12.29,10.78,87.27
2025.01.27 - 2025.02.02,1538.0,8.0,5.0,192.42,5.89,8.2,0.0,8.2,6.77,86.89
2025.02.03 - 2025.02.09,1731.0,9.0,5.0,192.42,4.88,2.17,0.0,2.17,8.77,81.02
2025.02.10 - 2025.02.16,1731.0,9.0,5.0,192.42,-0.32,41.2,41.2,0.0,10.03,91.75
2025.02.17 - 2025.02.23,577.0,3.0,5.0,192.42,1.67,28.57,21.26,7.31,8.75,88.93
2025.02.24 - 2025.03.02,961.0,5.0,5.0,192.42,-3.41,52.32,52.32,0.0,10.28,87.43
2025.03.03 - 2025.03.09,576.0,3.0,5.0,192.42,1.48,12.91,2.95,9.96,9.33,82.35
2025.03.10 - 2025.03.16,0.0,0.0,,192.42,4.63,0.21,0.0,0.21,8.8,74.85
2025.03.17 - 2025.03.23,769.0,4.0,4.67,192.42,14.38,0.0,0.0,0.0,10.57,48.13
2025.03.24 - 2025.03.30,1153.0,6.0,4.9,192.42,4.02,0.0,0.0,0.0,9.07,78.39
2025.03.31 - 2025.04.06,1731.0,9.0,5.0,192.42,11.86,5.7,0.0,5.7,7.51,73.45
2025.04.07 - 2025.04.13,5966.0,31.0,4.88,192.42,8.1,22.75,0.0,22.75,9.08,89.79
2025.04.14 - 2025.04.20,3655.0,19.0,4.94,192.42,2.51,37.53,12.71,24.82,12.71,81.57
2025.04.21 - 2025.04.27,1731.0,9.0,5.0,192.42,8.96,4.97,0.0,4.97,7.26,82.35
2025.04.28 - 2025.05.04,1922.0,10.0,4.93,192.42,8.93,24.51,0.0,24.51,6.98,88.23
2025.05.05 - 2025.05.11,3271.0,17.0,4.32,192.42,8.96,5.08,0.0,5.08,8.15,78.51
2025.05.12 - 2025.05.18,5387.0,28.0,4.89,192.42,13.57,16.37,0.0,16.37,8.82,78.24
