tarih,gercek_ziyaretci,yorum_sayisi,ortalama_puan,uygulanan_beta,Hıdırnebi yaylası - Trabzon_temp,Hıdırnebi yaylası - Trabzon_prcp,Hıdırnebi yaylası - Trabzon_snow,Hıdırnebi yaylası - Trabzon_rain,Hıdırnebi yaylası - Trabzon_wspd,Hıdırnebi yaylası - Trabzon_rhum
2025.06.09 - 2025.06.15,5304.0,39.0,4.55,135.96,11.87,20.25,0.0,20.25,8.13,75.22
2025.06.16 - 2025.06.22,7208.0,53.0,4.55,135.96,13.49,5.15,0.0,5.15,10.78,72.47
2025.06.23 - 2025.06.29,5848.0,43.0,4.51,135.96,12.82,5.42,0.0,5.42,10.58,67.52
2025.06.30 - 2025.07.06,8295.0,61.0,4.57,135.96,13.95,15.91,0.0,15.91,10.76,63.45
2025.07.07 - 2025.07.13,8568.0,63.0,4.73,135.96,13.18,17.42,0.0,17.42,11.26,70.29
2025.07.14 - 2025.07.20,13461.0,99.0,4.53,135.96,17.78,9.62,0.0,9.62,8.03,72.2
2025.07.21 - 2025.07.27,14411.0,106.0,4.55,135.96,17.95,13.98,0.0,13.98,9.42,72.4
2025.07.28 - 2025.08.03,18354.0,135.0,4.49,135.96,18.82,1.7,0.0,1.7,9.12,71.33
2025.08.04 - 2025.08.10,16449.0,121.0,4.21,135.96,19.71,23.56,0.0,23.56,10.43,74.33
2025.08.11 - 2025.08.17,13867.0,102.0,4.49,135.96,18.58,11.92,0.0,11.92,11.13,73.01
2025.08.18 - 2025.08.24,12508.0,92.0,4.5,135.96,17.09,0.53,0.0,0.53,9.73,62.04
2025.08.25 - 2025.08.31,11693.0,86.0,4.45,135.96,17.31,22.01,0.0,22.01,11.42,68.7
2025.09.01 - 2025.09.07,6664.0,49.0,4.53,135.96,16.39,1.33,0.0,1.33,8.7,69.79
2025.09.08 - 2025.09.14,7208.0,53.0,4.51,135.96,15.79,45.87,0.0,45.87,9.58,78.68
2025.09.15 - 2025.09.21,4896.0,36.0,4.44,135.96,13.87,6.46,0.0,6.46,10.61,67.93
2025.09.22 - 2025.09.28,4216.0,31.0,4.88,135.96,11.35,37.21,0.0,37.21,15.54,69.68
2025.09.29 - 2025.10.05,2312.0,17.0,4.67,135.96,11.03,3.79,0.0,3.79,10.69,70.94
2025.10.06 - 2025.10.12,3264.0,24.0,4.81,135.96,10.76,33.31,0.0,33.31,8.51,75.8
2025.10.13 - 2025.10.19,1496.0,11.0,4.57,135.96,9.38,32.87,0.0,32.87,11.46,70.68
2025.10.20 - 2025.10.26,2040.0,15.0,4.92,135.96,7.6,22.11,0.0,22.11,9.26,74.84
