tarih,gercek_ziyaretci,yorum_sayisi,ortalama_puan,uygulanan_beta,Ulugöl Tabiat Parkı - Ordu_temp,Ulugöl Tabiat Parkı - Ordu_prcp,Ulugöl Tabiat Parkı - Ordu_snow,Ulugöl Tabiat Parkı - Ordu_rain,Ulugöl Tabiat Parkı - Ordu_wspd,Ulugöl Tabiat Parkı - Ordu_rhum
2024.06.17 - 2024.06.23,3249.0,3.0,3.67,1083.33,18.64,3.87,0.0,3.87,10.67,62.33
2024.06.24 - 2024.06.30,16251.0,15.0,4.47,1083.33,17.55,3.27,0.0,3.27,11.49,69.92
2024.07.01 - 2024.07.07,11916.0,11.0,4.73,1083.33,16.07,19.12,0.0,19.12,14.57,68.03
2024.07.08 - 2024.07.14,7583.0,7.0,4.7,1083.33,18.09,16.55,0.0,16.55,15.41,69.55
2024.07.15 - 2024.07.21,10833.0,10.0,4.93,1083.33,18.99,7.07,0.0,7.07,11.51,75.34
2024.07.22 - 2024.07.28,8667.0,8.0,5.0,1083.33,19.82,13.2,0.0,13.2,12.43,69.88
2024.07.29 - 2024.08.04,10833.0,10.0,4.06,1083.33,18.92,24.43,0.0,24.43,13.0,69.62
2024.08.05 - 2024.08.11,10833.0,10.0,4.71,1083.33,17.61,3.18,0.0,3.18,11.83,63.68
2024.08.12 - 2024.08.18,13000.0,12.0,4.58,1083.33,18.57,5.1,0.0,5.1,13.05,66.6
2024.08.19 - 2024.08.25,13000.0,12.0,4.57,1083.33,17.9,0.99,0.0,0.99,11.63,60.12
2024.08.26 - 2024.09.01,9749.0,9.0,4.83,1083.33,19.4,19.41,0.0,19.41,12.93,68.87
2024.09.02 - 2024.09.08,6499.0,6.0,5.0,1083.33,18.73,0.43,0.0,0.43,10.48,70.95
2024.09.09 - 2024.09.15,13001.0,12.0,4.93,1083.33,17.19,10.18,0.0,10.18,10.18,74.09
2024.09.16 - 2024.09.22,6500.0,6.0,4.72,1083.33,18.49,3.23,0.0,3.23,11.17,60.94
