tarih,gercek_ziyaretci,yorum_sayisi,ortalama_puan,uygulanan_beta,Erfelek Tatlıca Şelaleleri - Sinop_temp,Erfelek Tatlıca Şelaleleri - Sinop_prcp,Erfelek Tatlıca Şelaleleri - Sinop_snow,Erfelek Tatlıca Şelaleleri - Sinop_rain,Erfelek Tatlıca Şelaleleri - Sinop_wspd,Erfelek Tatlıca Şelaleleri - Sinop_rhum
2024.05.06 - 2024.05.12,3737.0,22.0,0.0,169.79,10.47,48.42,0.0,48.42,13.85,85.7
2024.05.13 - 2024.05.19,1360.0,8.0,0.0,169.79,12.03,4.79,0.0,4.79,13.78,77.04
2024.05.20 - 2024.05.26,2038.0,12.0,0.0,169.79,11.58,1.29,0.0,1.29,14.7,75.74
2024.05.27 - 2024.06.02,3397.0,20.0,0.0,169.79,14.1,0.96,0.0,0.96,15.81,81.96
2024.06.03 - 2024.06.09,2718.0,16.0,0.23,169.79,16.87,3.95,0.0,3.95,11.71,79.25
2024.06.10 - 2024.06.16,1699.0,10.0,0.0,169.79,20.12,0.0,0.0,0.0,12.4,75.13
2024.06.17 - 2024.06.23,4754.0,28.0,0.0,169.79,21.05,0.25,0.0,0.25,15.09,75.08
2024.06.24 - 2024.06.30,17657.0,104.0,0.04,169.79,20.64,0.6,0.0,0.6,12.19,74.63
2024.07.01 - 2024.07.07,11206.0,66.0,0.0,169.79,20.57,2.64,0.0,2.64,14.79,73.42
2024.07.08 - 2024.07.14,11208.0,66.0,0.0,169.79,21.31,3.18,0.0,3.18,18.23,78.61
2024.07.15 - 2024.07.21,11205.0,66.0,0.1,169.79,23.02,1.17,0.0,1.17,15.48,78.45
2024.07.22 - 2024.07.28,15960.0,94.0,0.0,169.79,24.32,2.59,0.0,2.59,15.07,78.84
2024.07.29 - 2024.08.04,16639.0,98.0,0.09,169.79,22.42,58.74,0.0,58.74,13.34,74.76
2024.08.05 - 2024.08.11,16979.0,100.0,0.01,169.79,22.14,3.34,0.0,3.34,14.77,72.57
2024.08.12 - 2024.08.18,20715.0,122.0,0.05,169.79,23.02,1.1,0.0,1.1,12.04,74.61
2024.08.19 - 2024.08.25,23432.0,138.0,0.03,169.79,22.9,0.0,0.0,0.0,10.45,66.57
2024.08.26 - 2024.09.01,15960.0,94.0,0.04,169.79,22.76,5.49,0.0,5.49,15.84,79.39
2024.09.02 - 2024.09.08,19356.0,114.0,0.03,169.79,21.94,1.55,0.0,1.55,10.99,77.23
2024.09.09 - 2024.09.15,13244.0,78.0,0.03,169.79,21.13,15.07,0.0,15.07,9.76,78.75
2024.09.16 - 2024.09.22,8489.0,50.0,0.02,169.79,22.2,10.52,0.0,10.52,15.52,79.41
2024.09.23 - 2024.09.29,3737.0,22.0,0.0,169.79,17.97,75.62,0.0,75.62,14.53,78.74
2024.09.30 - 2024.10.06,3057.0,18.0,0.07,169.79,18.58,35.02,0.0,35.02,15.2,81.78
2024.10.07 - 2024.10.13,5094.0,30.0,0.06,169.79,17.85,15.14,0.0,15.14,14.93,79.41
2024.10.14 - 2024.10.20,2717.0,16.0,0.0,169.79,17.35,18.36,0.0,18.36,13.52,81.2
2024.10.21 - 2024.10.27,3737.0,22.0,0.0,169.79,10.47,101.93,0.0,101.93,19.24,80.83
2024.10.28 - 2024.11.03,1360.0,8.0,0.0,169.79,11.68,3.71,0.0,3.71,13.34,77.6
2024.11.04 - 2024.11.10,3056.0,18.0,0.12,169.79,10.66,12.84,0.0,12.84,12.3,80.59
2024.11.11 - 2024.11.17,2039.0,12.0,0.0,169.79,8.44,8.51,0.0,8.51,13.32,76.55
2024.11.18 - 2024.11.24,3735.0,22.0,0.17,169.79,9.8,22.19,0.0,22.19,12.05,85.71
2024.11.25 - 2024.12.01,2718.0,16.0,0.05,169.79,9.31,61.28,0.0,61.28,21.09,77.32
2024.12.02 - 2024.12.08,680.0,4.0,0.0,169.79,6.05,26.05,0.0,26.05,13.53,77.4
2024.12.09 - 2024.12.15,340.0,2.0,0.0,169.79,8.1,2.46,0.0,2.46,11.53,74.61
2024.12.16 - 2024.12.22,1020.0,6.0,0.0,169.79,5.69,15.3,0.0,15.3,17.85,69.64
2024.12.23 - 2024.12.29,1020.0,6.0,0.0,169.79,7.68,2.88,0.0,2.88,16.95,77.04
2024.12.30 - 2025.01.05,340.0,2.0,0.0,169.79,7.01,10.69,0.0,10.69,13.63,76.59
2025.01.06 - 2025.01.12,0.0,0.0,,164.2,5.24,5.18,0.0,5.18,12.41,74.26
2025.01.13 - 2025.01.19,653.0,4.0,0.0,163.27,7.62,10.71,0.0,10.71,11.84,74.97
2025.01.20 - 2025.01.26,327.0,2.0,0.0,163.27,5.0,16.02,0.0,16.02,22.16,79.47
2025.01.27 - 2025.02.02,654.0,4.0,0.0,163.27,6.65,7.5,0.0,7.5,11.6,83.31
2025.02.03 - 2025.02.09,1960.0,12.0,0.0,163.27,5.76,1.11,0.0,1.11,10.74,80.65
2025.02.10 - 2025.02.16,327.0,2.0,0.0,163.27,0.83,61.08,54.73,6.35,18.05,85.19
2025.02.17 - 2025.02.23,1634.0,10.0,0.0,163.27,2.27,37.14,29.99,7.15,13.49,83.21
2025.02.24 - 2025.03.02,654.0,4.0,0.0,163.27,-2.27,59.59,59.59,0.0,18.16,80.51
2025.03.03 - 2025.03.09,0.0,0.0,,163.27,1.65,19.58,8.78,10.8,14.03,80.1
2025.03.10 - 2025.03.16,327.0,2.0,0.0,163.27,4.52,0.48,0.0,0.48,11.33,76.61
2025.03.17 - 2025.03.23,327.0,2.0,0.0,163.27,12.26,0.0,0.0,0.0,12.64,54.55
2025.03.24 - 2025.03.30,0.0,0.0,,163.27,5.17,2.95,0.0,2.95,15.01,73.84
2025.03.31 - 2025.04.06,980.0,6.0,0.5,163.27,9.77,0.94,0.0,0.94,11.49,79.13
2025.04.07 - 2025.04.13,6532.0,40.0,0.07,163.27,7.68,7.82,0.0,7.82,12.68,89.19
2025.04.14 - 2025.04.20,1308.0,8.0,0.0,163.27,3.15,39.95,2.4,37.55,18.79,77.22
2025.04.21 - 2025.04.27,1633.0,10.0,0.17,163.27,7.41,2.99,0.0,2.99,13.9,85.43
2025.04.28 - 2025.05.04,1961.0,12.0,0.0,163.27,7.88,8.74,0.0,8.74,10.96,86.87
2025.05.05 - 2025.05.11,2940.0,18.0,0.07,163.27,8.11,0.53,0.0,0.53,11.74,80.73
2025.05.12 - 2025.05.18,3920.0,24.0,0.17,163.27,11.6,6.73,0.0,6.73,10.9,81.86
2025.05.19 - 2025.05.25,4899.0,30.0,0.04,163.27,11.27,12.55,0.0,12.55,14.9,78.29
2025.05.26 - 2025.06.01,4899.0,30.0,0.08,163.27,14.75,0.85,0.0,0.85,15.47,71.96
2025.06.02 - 2025.06.08,5226.0,32.0,0.0,163.27,14.58,0.93,0.0,0.93,11.65,77.97
2025.06.09 - 2025.06.15,11103.0,68.0,0.03,163.27,17.13,0.0,0.0,0.0,12.14,71.65
2025.06.16 - 2025.06.22,10124.0,62.0,0.05,163.27,17.9,4.92,0.0,4.92,15.72,76.26
2025.06.23 - 2025.06.29,9797.0,60.0,0.07,163.27,18.11,6.52,0.0,6.52,14.16,69.45
2025.06.30 - 2025.07.06,8490.0,52.0,0.0,163.27,19.56,9.42,0.0,9.42,14.82,66.78
2025.07.07 - 2025.07.13,8817.0,54.0,0.0,163.27,19.29,9.53,0.0,9.53,15.98,72.17
2025.07.14 - 2025.07.20,17306.0,106.0,0.03,163.27,21.44,0.35,0.0,0.35,14.53,76.75
2025.07.21 - 2025.07.27,19265.0,118.0,0.06,163.27,22.15,2.16,0.0,2.16,11.9,71.28
2025.07.28 - 2025.08.03,19593.0,120.0,0.05,163.27,23.53,0.0,0.0,0.0,12.19,73.69
2025.08.04 - 2025.08.10,22204.0,136.0,0.04,163.27,22.51,3.79,0.0,3.79,12.57,78.35
