tarih,gercek_ziyaretci,yorum_sayisi,ortalama_puan,uygulanan_beta,Abant Gölü Tabiat Parkı - Bolu_temp,Abant Gölü Tabiat Parkı - Bolu_prcp,Abant Gölü Tabiat Parkı - Bolu_snow,Abant Gölü Tabiat Parkı - Bolu_rain,Abant Gölü Tabiat Parkı - Bolu_wspd,Abant Gölü Tabiat Parkı - Bolu_rhum
2025.01.27 - 2025.02.02,27366.0,15.0,4.92,1824.4,0.61,32.19,28.39,3.8,3.4,83.44
2025.02.03 - 2025.02.09,29190.0,16.0,5.0,1824.4,1.46,0.58,0.58,0.0,4.06,75.7
2025.02.10 - 2025.02.16,23716.0,13.0,4.77,1824.4,-4.91,30.99,30.99,0.0,5.4,83.2
2025.02.17 - 2025.02.23,14595.0,8.0,5.0,1824.4,-2.23,13.01,13.01,0.0,4.81,81.3
2025.02.24 - 2025.03.02,20068.0,11.0,4.71,1824.4,-7.71,27.5,27.5,0.0,5.78,80.71
2025.03.03 - 2025.03.09,10946.0,6.0,4.88,1824.4,-1.45,3.29,3.29,0.0,5.04,73.62
2025.03.10 - 2025.03.16,12771.0,7.0,5.0,1824.4,0.91,0.05,0.05,0.0,4.94,66.87
2025.03.17 - 2025.03.23,12771.0,7.0,4.75,1824.4,10.62,0.08,0.0,0.08,3.96,51.68
2025.03.24 - 2025.03.30,9121.0,5.0,4.75,1824.4,0.05,6.08,5.97,0.11,4.71,69.58
2025.03.31 - 2025.04.06,9121.0,5.0,4.89,1824.4,8.65,11.36,0.0,11.36,4.87,67.31
2025.04.07 - 2025.04.13,20069.0,11.0,4.25,1824.4,4.49,15.2,0.0,15.2,6.19,76.3
2025.04.14 - 2025.04.20,12770.0,7.0,5.0,1824.4,-2.14,26.54,26.54,0.0,6.44,74.74
2025.04.21 - 2025.04.27,21891.0,12.0,5.0,1824.4,6.66,0.36,0.0,0.36,5.56,68.13
2025.04.28 - 2025.05.04,20068.0,11.0,4.53,1824.4,5.89,23.1,0.0,23.1,6.79,75.8
2025.05.05 - 2025.05.11,12770.0,7.0,4.4,1824.4,5.54,7.98,0.0,7.98,5.83,72.71
2025.05.12 - 2025.05.18,16419.0,9.0,4.85,1824.4,10.38,24.83,0.0,24.83,5.82,71.95
