tarih,gercek_ziyaretci,yorum_sayisi,ortalama_puan,uygulanan_beta,Perşembe Yaylası - Ordu_temp,Perşembe Yaylası - Ordu_prcp,Perşembe Yaylası - Ordu_snow,Perşembe Yaylası - Ordu_rain,Perşembe Yaylası - Ordu_wspd,Perşembe Yaylası - Ordu_rhum
2025.09.08 - 2025.09.14,64985.0,46.0,4.86,1412.71,15.07,22.94,0.0,22.94,11.32,77.53
2025.09.15 - 2025.09.21,39555.0,28.0,4.74,1412.71,12.81,4.76,0.0,4.76,10.01,72.64
2025.09.22 - 2025.09.28,33905.0,24.0,4.78,1412.71,10.39,30.05,0.0,30.05,14.8,73.97
2025.09.29 - 2025.10.05,18364.0,13.0,4.92,1412.71,9.72,4.31,0.0,4.31,10.51,71.63
2025.10.06 - 2025.10.12,24015.0,17.0,4.86,1412.71,9.78,23.66,0.0,23.66,9.28,78.43
2025.10.13 - 2025.10.19,16953.0,12.0,4.79,1412.71,8.17,25.9,0.0,25.9,10.4,73.88
2025.10.20 - 2025.10.26,16951.0,12.0,4.86,1412.71,6.34,19.5,0.0,19.5,8.71,78.18
2025.10.27 - 2025.11.02,12713.0,9.0,4.7,1412.71,7.77,8.74,0.0,8.74,9.79,76.69
2025.11.03 - 2025.11.09,8476.0,6.0,4.88,1412.71,5.29,20.45,0.0,20.45,9.12,75.42
2025.11.10 - 2025.11.16,11302.0,8.0,5.0,1412.71,6.11,0.08,0.0,0.08,6.77,77.37
2025.11.17 - 2025.11.23,7064.0,5.0,5.0,1412.71,4.19,67.62,0.0,67.62,11.31,81.59
2025.11.24 - 2025.11.30,9889.0,7.0,5.0,1412.71,5.97,0.18,0.0,0.18,11.36,60.67
2025.12.01 - 2025.12.07,9889.0,7.0,4.8,1412.71,4.0,5.88,0.0,5.88,9.27,71.87
2025.12.08 - 2025.12.14,2826.0,2.0,5.0,1412.71,2.29,6.48,0.12,6.36,9.71,76.21
2025.12.15 - 2025.12.21,1413.0,1.0,5.0,1412.71,1.23,49.43,27.28,22.15,11.18,84.48
2025.12.22 - 2025.12.28,5651.0,4.0,4.83,1412.71,-2.08,17.75,17.75,0.0,8.33,78.14
2025.12.29 - 2026.01.04,1413.0,1.0,5.0,1412.71,-1.88,19.85,19.85,0.0,11.7,80.76
2026.01.05 - 2026.01.11,1413.0,1.0,5.0,1412.71,-3.08,16.5,16.5,0.0,20.48,62.58
