tarih,gercek_ziyaretci,yorum_sayisi,ortalama_puan,uygulanan_beta,Kümbet yaylası - Giresun_temp,Kümbet yaylası - Giresun_prcp,Kümbet yaylası - Giresun_snow,Kümbet yaylası - Giresun_rain,Kümbet yaylası - Giresun_wspd,Kümbet yaylası - Giresun_rhum
2025.05.12 - 2025.05.18,1146.0,3.0,4.67,381.68,7.08,33.28,0.0,33.28,10.62,78.21
2025.05.19 - 2025.05.25,3817.0,10.0,4.5,381.68,5.55,35.31,0.0,35.31,12.27,78.34
2025.05.26 - 2025.06.01,2291.0,6.0,4.0,381.68,8.68,0.25,0.0,0.25,9.12,71.16
2025.06.02 - 2025.06.08,1909.0,5.0,5.0,381.68,8.37,20.55,0.0,20.55,11.1,81.62
2025.06.09 - 2025.06.15,6106.0,16.0,4.96,381.68,9.97,25.54,0.0,25.54,9.13,77.14
2025.06.16 - 2025.06.22,7253.0,19.0,4.55,381.68,11.53,4.94,0.0,4.94,11.16,75.58
2025.06.23 - 2025.06.29,6489.0,17.0,3.68,381.68,10.85,3.3,0.0,3.3,10.42,70.3
2025.06.30 - 2025.07.06,6489.0,17.0,4.74,381.68,12.0,19.92,0.0,19.92,12.04,67.12
2025.07.07 - 2025.07.13,7634.0,20.0,4.68,381.68,11.29,20.31,0.0,20.31,12.86,75.08
2025.07.14 - 2025.07.20,10305.0,27.0,4.7,381.68,15.85,3.09,0.0,3.09,8.26,72.86
2025.07.21 - 2025.07.27,18320.0,48.0,4.38,381.68,15.95,9.44,0.0,9.44,10.79,74.35
2025.07.28 - 2025.08.03,12975.0,34.0,4.6,381.68,16.97,0.96,0.0,0.96,10.04,72.25
2025.08.04 - 2025.08.10,19083.0,50.0,4.57,381.68,17.57,27.75,0.0,27.75,12.47,77.08
2025.08.11 - 2025.08.17,13739.0,36.0,4.5,381.68,16.73,13.33,0.0,13.33,13.05,75.76
2025.08.18 - 2025.08.24,16794.0,44.0,4.69,381.68,15.22,0.17,0.0,0.17,10.12,63.7
2025.08.25 - 2025.08.31,22138.0,58.0,4.65,381.68,15.25,27.4,0.0,27.4,12.89,70.52
2025.09.01 - 2025.09.07,16031.0,42.0,4.71,381.68,13.96,2.67,0.0,2.67,9.52,71.93
2025.09.08 - 2025.09.14,13357.0,35.0,4.5,381.68,13.72,45.26,0.0,45.26,10.12,80.96
2025.09.15 - 2025.09.21,4963.0,13.0,4.96,381.68,11.8,4.12,0.0,4.12,11.06,73.04
2025.09.22 - 2025.09.28,6107.0,16.0,5.0,381.68,9.26,48.23,0.0,48.23,18.22,74.46
2025.09.29 - 2025.10.05,5342.0,14.0,4.69,381.68,8.93,2.68,0.0,2.68,12.0,73.36
2025.10.06 - 2025.10.12,4579.0,12.0,4.92,381.68,8.8,38.01,0.0,38.01,10.04,77.04
2025.10.13 - 2025.10.19,4199.0,11.0,4.83,381.68,7.38,30.49,0.0,30.49,13.07,73.2
2025.10.20 - 2025.10.26,4963.0,13.0,4.42,381.68,5.64,18.8,0.0,18.8,10.4,76.05
2025.10.27 - 2025.11.02,1909.0,5.0,4.5,381.68,7.38,13.27,0.0,13.27,12.33,72.69
2025.11.03 - 2025.11.09,5725.0,15.0,4.79,381.68,5.2,20.99,0.0,20.99,11.4,68.6
2025.11.10 - 2025.11.16,2291.0,6.0,4.9,381.68,5.9,0.26,0.0,0.26,8.96,68.74
2025.11.17 - 2025.11.23,1526.0,4.0,5.0,381.68,4.07,77.5,33.49,44.01,12.12,77.08
2025.11.24 - 2025.11.30,1146.0,3.0,5.0,381.68,6.31,0.0,0.0,0.0,12.02,48.75
2025.12.01 - 2025.12.07,1909.0,5.0,4.75,381.68,4.13,4.47,0.0,4.47,9.83,64.33
2025.12.08 - 2025.12.14,1527.0,4.0,4.67,381.68,2.26,3.69,0.67,3.02,9.92,69.75
2025.12.15 - 2025.12.21,764.0,2.0,5.0,381.68,-0.17,61.39,50.84,10.55,12.18,83.97
2025.12.22 - 2025.12.28,1145.0,3.0,5.0,381.68,-1.52,15.27,15.27,0.0,10.06,69.26
2025.12.29 - 2026.01.04,0.0,0.0,,381.68,-2.73,30.85,30.85,0.0,13.3,75.28
2026.01.05 - 2026.01.11,0.0,0.0,,381.68,-4.0,6.43,6.43,0.0,24.08,57.64
