time,Abant Gölü Tabiat Parkı - Bolu_temp,Abant Gölü Tabiat Parkı - Bolu_prcp,Abant Gölü Tabiat Parkı - Bolu_snow,Abant Gölü Tabiat Parkı - Bolu_rain,Abant Gölü Tabiat Parkı - Bolu_tmin,Abant Gölü Tabiat Parkı - Bolu_tmax,Abant Gölü Tabiat Parkı - Bolu_wspd,Abant Gölü Tabiat Parkı - Bolu_rhum
2024-04-27,9.21,0.0,0.0,0.0,3.47,14.24,7.78,78.59
2024-04-28,7.43,4.21,0.0,4.21,5.7,9.22,4.25,89.28
2024-04-29,8.26,4.47,0.0,4.47,5.74,11.39,3.48,84.28
2024-04-30,10.52,0.07,0.0,0.07,6.61,14.74,4.73,81.76
2024-05-01,7.6,5.59,0.0,5.59,5.63,10.78,4.93,91.58
2024-05-02,7.51,1.28,0.0,1.28,4.72,10.53,6.01,84.58
2024-05-03,9.34,0.73,0.0,0.73,4.61,14.64,4.86,79.76
2024-05-04,6.92,7.77,0.0,7.77,3.21,11.84,3.82,81.64
2024-05-05,6.92,10.57,0.0,10.57,0.4,11.23,7.53,70.41
2024-05-06,6.52,0.36,0.0,0.36,-2.71,13.53,4.38,65.65
2024-05-07,7.17,0.0,0.0,0.0,-2.89,17.25,3.61,57.95
2024-05-08,13.25,0.0,0.0,0.0,-0.07,20.51,4.01,59.35
2024-05-09,10.73,0.51,0.0,0.51,3.86,16.43,3.89,73.82
2024-05-10,10.19,1.15,0.0,1.15,6.61,14.89,5.93,82.35
2024-05-11,7.11,7.0,0.0,7.0,4.45,9.04,6.43,88.69
2024-05-12,8.29,0.83,0.0,0.83,2.96,12.27,3.52,72.99
2024-05-13,4.02,1.35,0.0,1.35,-0.26,10.2,5.04,83.93
2024-05-14,5.43,5.61,0.0,5.61,-2.49,10.29,4.85,70.06
2024-05-15,7.1,0.0,0.0,0.0,-3.85,13.17,5.76,66.76
2024-05-16,8.29,0.0,0.0,0.0,0.08,13.82,5.51,68.54
2024-05-17,10.74,0.49,0.0,0.49,1.65,18.17,5.29,73.47
2024-05-18,13.06,0.0,0.0,0.0,3.5,18.63,5.55,73.42
2024-05-19,12.51,0.0,0.0,0.0,3.29,19.19,5.09,74.36
2024-05-20,13.18,0.0,0.0,0.0,4.34,18.86,4.79,72.01
2024-05-21,14.11,0.0,0.0,0.0,3.86,20.25,5.31,70.18
2024-05-22,16.48,0.0,0.0,0.0,3.98,23.6,4.89,66.48
2024-05-23,10.67,25.03,0.0,25.03,6.9,17.15,4.8,82.81
2024-05-24,10.62,16.7,0.0,16.7,6.7,15.65,6.94,81.58
2024-05-25,12.74,0.18,0.0,0.18,5.04,16.92,6.25,75.3
2024-05-26,12.31,0.49,0.0,0.49,7.17,16.64,5.99,72.77
2024-05-27,9.9,0.6,0.0,0.6,4.6,13.89,4.05,74.06
2024-05-28,10.07,0.0,0.0,0.0,4.2,14.85,4.29,76.59
2024-05-29,13.2,0.12,0.0,0.12,3.82,19.75,3.6,69.06
2024-05-30,14.09,1.07,0.0,1.07,6.08,20.89,3.33,68.64
2024-05-31,14.9,1.32,0.0,1.32,5.59,22.2,2.9,68.1
2024-06-01,17.89,0.0,0.0,0.0,5.85,24.87,3.34,63.05
2024-06-02,19.58,0.0,0.0,0.0,8.11,26.79,3.62,62.7
2024-06-03,20.98,0.0,0.0,0.0,8.87,28.0,4.05,60.64
2024-06-04,21.03,0.04,0.0,0.04,10.06,29.65,2.2,61.05
2024-06-05,20.74,0.0,0.0,0.0,10.23,26.91,5.66,57.83
2024-06-06,19.31,0.05,0.0,0.05,10.02,25.95,5.44,65.42
2024-06-07,17.23,3.0,0.0,3.0,11.43,23.87,5.35,74.41
2024-06-08,15.31,1.38,0.0,1.38,10.33,20.26,5.25,77.06
2024-06-09,18.97,0.0,0.0,0.0,10.6,23.5,5.28,67.53
2024-06-10,20.77,0.0,0.0,0.0,8.4,27.18,4.37,61.77
2024-06-11,23.17,0.0,0.0,0.0,9.59,30.6,3.97,56.41
2024-06-12,23.41,0.0,0.0,0.0,11.57,29.52,6.02,55.11
2024-06-13,24.14,0.0,0.0,0.0,12.51,30.66,4.89,61.07
2024-06-14,23.04,2.17,0.0,2.17,13.01,30.86,7.13,59.23
2024-06-15,14.92,0.23,0.0,0.23,9.06,18.3,8.62,69.46
2024-06-16,16.61,0.0,0.0,0.0,6.05,22.27,5.95,66.71
2024-06-17,18.06,0.0,0.0,0.0,6.69,23.89,5.86,62.82
2024-06-18,18.98,0.0,0.0,0.0,6.94,24.97,6.15,64.25
2024-06-19,19.28,0.0,0.0,0.0,9.9,23.93,7.3,69.42
2024-06-20,19.8,0.0,0.0,0.0,10.2,25.36,6.1,68.6
2024-06-21,19.94,0.0,0.0,0.0,8.72,25.57,7.56,61.66
2024-06-22,18.59,0.0,0.0,0.0,10.7,22.66,8.35,65.66
2024-06-23,19.64,0.0,0.0,0.0,7.62,26.06,6.18,64.01
2024-06-24,20.38,0.0,0.0,0.0,9.15,26.31,5.56,68.06
2024-06-25,19.74,0.0,0.0,0.0,14.1,24.21,8.74,65.42
2024-06-26,18.6,0.02,0.0,0.02,10.38,22.7,8.91,62.71
2024-06-27,19.51,0.0,0.0,0.0,9.4,25.3,6.89,63.36
